fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
War Machine,"5' 11""",170 lbs.,,Orthodox,30-Nov-81,2,1,3,0,1,1,0,0
Anthony Macias,"5' 9""",185 lbs.,,Switch,,0,0,0,0,0,0,0,0
Lyoto Machida,"6' 1""",185 lbs.,"74""",Southpaw,30-May-78,3,1,2,1,1,1,1,0
Ryan Madigan,"6' 0""",170 lbs.,,Orthodox,,0,0,3,0,0,0,0,0
Pauline Macias,"5' 4""",115 lbs.,"64""",Southpaw,27-Jun-88,1,0,5,0,2,0,0,0
Don Madge,"6' 0""",155 lbs.,"72""",Southpaw,12-Nov-90,2,1,1,1,2,0,1,1
Ilima Macfarlane,"5' 4""",125 lbs.,,,,4,0,3,1,0,0,1,1
Mark Madsen,"5' 8""",155 lbs.,"72""",Orthodox,23-Sep-84,2,0,3,0,8,1,0,0
Jon Madsen,"6' 0""",240 lbs.,"72""",Orthodox,12-Feb-80,2,0,1,1,1,1,1,0
Yoshiro Maeda,"5' 7""",139 lbs.,"68""",Southpaw,31-Oct-81,2,0,3,1,3,1,1,1
Vinicius Magalhaes,,145 lbs.,,,30-Jul-71,0,0,0,0,0,0,0,0
Vinny Magalhaes,"6' 3""",205 lbs.,"75""",Orthodox,2-Jul-84,2,0,4,1,2,0,1,1
Bernardo Magalhaes,"5' 9""",155 lbs.,,Orthodox,8-Apr-81,2,0,3,1,0,0,0,1
Eric Magana,,,,,,0,0,0,0,0,0,0,0
Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,14-Dec-87,2,0,3,1,1,0,1,2
Brandon Magana,,170 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Reza Madadi,"5' 11""",155 lbs.,"73""",Orthodox,20-Jun-78,3,0,3,1,3,0,1,1
Angela Magana,"5' 1""",115 lbs.,"65""",Orthodox,2-Aug-83,2,0,5,0,0,0,0,0
Neil Magny,"6' 3""",170 lbs.,"80""",Orthodox,3-Aug-87,4,0,2,1,2,0,1,0
Rashid Magomedov,"5' 9""",155 lbs.,"70""",Orthodox,29-Nov-84,4,0,3,1,1,1,1,0
Ruslan Magomedov,"6' 3""",242 lbs.,"78""",Orthodox,26-Nov-86,4,0,1,1,0,1,1,0
Ibragim Magomedov,"6' 0""",250 lbs.,,Orthodox,,0,0,4,0,0,0,0,0
John Maguire,"5' 9""",155 lbs.,"69""",Southpaw,19-May-83,1,0,2,1,3,0,1,1
Zabit Magomedsharipov,"6' 1""",145 lbs.,"73""",Orthodox,1-Mar-91,5,0,3,1,5,1,1,1
Lolohea Mahe,,,,,,2,0,7,0,2,0,0,0
Leonardo Mafra,"5' 10""",155 lbs.,"70""",Orthodox,25-Apr-89,5,0,4,0,2,1,1,0
Michelle Maher,,145 lbs.,,,,0,0,0,0,0,0,0,0
Bill Mahood,"6' 3""",200 lbs.,,Orthodox,1-Feb-67,2,1,4,0,0,0,0,4
Levan Makashvili,"5' 8""",145 lbs.,"68""",Orthodox,7-Jan-89,3,1,2,1,4,0,1,0
Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,6-Oct-88,3,0,4,1,0,1,1,0
Klayton Mai,"5' 9""",125 lbs.,,,30-Nov-86,2,0,1,1,4,1,0,8
John Makdessi,"5' 8""",155 lbs.,"68""",Orthodox,3-May-85,5,1,4,1,0,0,1,0
Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,6-Nov-77,2,0,2,1,3,0,1,1
Aliev Makhmud,"5' 6""",195 lbs.,,Southpaw,13-Feb-70,1,0,2,0,2,1,0,0
Islam Makhachev,"5' 10""",155 lbs.,"70""",Southpaw,27-Oct-91,2,1,1,1,3,1,1,1
Marvin Maldonado,"5' 6""",135 lbs.,,,,1,1,3,0,0,0,0,0
Zach Makovsky,"5' 4""",125 lbs.,"64""",Southpaw,19-Apr-83,2,0,2,1,4,0,1,0
Jeremy Malaterre,"5' 11""",155 lbs.,,,,0,0,0,0,0,0,0,0
Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,17-Mar-80,5,1,4,1,0,1,1,1
Nazareno Malegarie,"5' 8""",155 lbs.,,,16-May-86,4,0,3,1,1,0,0,0
Carl Malenko,"5' 11""",200 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Bea Malecki,"5' 9""",135 lbs.,"74""",Orthodox,23-Aug-91,7,0,6,1,0,0,1,1
Jacob Malkoun,"5' 9""",185 lbs.,"73""",Orthodox,26-Aug-95,0,0,23,0,0,0,0,0
Nate Maness,"5' 10""",135 lbs.,"72""",Orthodox,27-Jun-91,2,0,5,0,1,1,1,1
Michael Mangan,,155 lbs.,,,,2,0,5,0,19,1,1,0
Mike Malott,"6' 0""",145 lbs.,,,,5,0,5,1,2,0,0,0
Troy Mandaloniz,"5' 9""",170 lbs.,,Orthodox,1-Feb-80,4,1,5,1,3,1,1,0
Jon Manley,"6' 1""",170 lbs.,,Orthodox,7-Jul-86,1,0,4,0,1,0,0,0
Melchor Manibusan,"5' 5""",154 lbs.,,Southpaw,27-Dec-76,2,1,6,0,0,0,0,0
Gary Mangat,"5' 7""",135 lbs.,,,,0,0,0,0,0,0,0,0
Melvin Manhoef,"5' 9""",185 lbs.,,Orthodox,11-May-76,4,0,3,1,0,0,1,0
Chris Manuel,"5' 9""",135 lbs.,,Orthodox,21-Jul-87,3,0,3,1,1,0,1,0
Steve Mann,"6' 1""",170 lbs.,,,,3,1,1,1,2,1,1,0
Cristiano Marcello,"5' 9""",155 lbs.,"72""",Orthodox,3-Dec-77,3,0,4,1,0,0,0,1
Jimi Manuwa,"6' 1""",205 lbs.,"79""",Orthodox,18-Feb-80,3,1,4,0,1,0,1,0
Jose Maria,"5' 5""",125 lbs.,,Orthodox,4-Jan-82,3,1,4,1,2,0,0,2
Enrique Marin,"5' 10""",170 lbs.,,,2-Sep-86,1,0,3,1,3,0,1,1
Marcos Mariano,"6' 1""",155 lbs.,"76""",Switch,12-Oct-86,0,0,2,0,0,0,0,0
Ronny Markes,"6' 1""",185 lbs.,"75""",Orthodox,21-Apr-88,2,1,2,0,3,0,1,1
Rory Markham,"6' 0""",170 lbs.,"71""",Orthodox,25-Mar-82,2,0,10,0,0,0,0,0
Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,8-Nov-85,5,1,3,1,8,1,0,0
Randa Markos,"5' 4""",115 lbs.,"63""",Orthodox,10-Aug-85,3,0,3,1,1,0,1,0
Nate Marquardt,"6' 0""",185 lbs.,"74""",Orthodox,20-Apr-79,3,0,2,1,2,1,1,1
Danilo Marques,"6' 6""",205 lbs.,"77""",Orthodox,26-Dec-85,2,1,1,1,5,0,0,1
Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,26-Jan-81,1,0,2,1,3,0,0,1
Julian Marquez,"6' 2""",185 lbs.,"72""",Orthodox,8-May-90,4,0,3,1,0,0,1,3
Cesar Marscucci,,,,,,0,0,0,0,0,0,0,0
CJ Marsh,,,,,,0,0,0,0,0,0,0,0
John Marsh,"6' 0""",265 lbs.,,Orthodox,15-Sep-70,1,0,2,0,0,1,1,0
Eliot Marshall,"6' 2""",205 lbs.,"77""",Orthodox,7-Jul-80,2,0,2,1,0,0,1,1
David Marshall,"6' 2""",170 lbs.,,,24-Aug-84,0,0,0,0,0,0,0,0
Jack Marshman,"6' 0""",185 lbs.,"73""",Orthodox,19-Dec-89,3,0,4,1,0,0,0,0
Doug Marshall,"5' 10""",205 lbs.,,Orthodox,9-Sep-75,7,0,4,1,0,0,1,2
Terry Martin,"5' 8""",185 lbs.,"71""",Orthodox,10-Oct-80,3,0,3,1,3,0,1,0
Eric Martin,,,,,,0,0,0,0,0,0,0,0
Dave Martin,"6' 0""",205 lbs.,,,,0,0,0,0,0,0,0,0
Justin Martin,"6' 0""",185 lbs.,,,,0,0,0,0,0,0,0,0
Joe Martin,"5' 9""",170 lbs.,,,,1,0,2,0,0,0,0,0
Michal Martinek,"6' 2""",230 lbs.,,Southpaw,19-Apr-90,2,1,4,1,0,0,0,0
Mallory Martin,"5' 4""",115 lbs.,"63""",Orthodox,29-Jan-94,4,1,6,1,3,1,0,1
Rainy Martinez,"6' 0""",199 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,11-Dec-89,3,0,3,1,1,0,1,1
Danny Martinez,"5' 6""",125 lbs.,"67""",Orthodox,14-Jun-85,3,0,4,1,3,0,0,0
Henry Martinez,"5' 7""",155 lbs.,"69""",Southpaw,7-Aug-83,3,0,4,1,0,0,1,0
Alonzo Martinez,"5' 10""",155 lbs.,,,22-Apr-84,3,0,7,1,0,0,0,0
Jonathan Martinez,"5' 8""",135 lbs.,"70""",Southpaw,20-Apr-94,4,0,4,1,0,0,1,0
Andrew Martinez,"5' 9""",215 lbs.,,,,3,0,2,0,2,1,0,0
Victor Martinez,"5' 10""",155 lbs.,,,17-Jul-91,0,0,0,0,0,0,0,0
Roque Martinez,"5' 10""",250 lbs.,"72""",Orthodox,4-Mar-86,3,1,5,1,1,1,0,0
Mana Martinez,"5' 10""",135 lbs.,"70""",Orthodox,25-Mar-96,2,1,1,1,0,0,0,6
Poppies Martinez,"5' 9""",145 lbs.,,,19-Aug-83,3,1,2,1,2,0,1,9
Wagner da Conceicao Martins,"6' 7""",390 lbs.,,Orthodox,19-May-78,2,0,5,0,2,1,1,0
Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,16-Dec-82,2,0,2,1,1,1,1,0
Lucas Martins,"6' 0""",145 lbs.,"72""",Southpaw,11-Nov-88,3,0,4,1,0,0,1,1
Jameel Massouh,"5' 10""",145 lbs.,"72""",Orthodox,12-Sep-84,2,1,3,1,1,0,1,1
Mike Massenzio,"6' 2""",185 lbs.,"73""",Southpaw,1-Nov-82,2,0,4,1,3,0,1,1
Shoji Maruyama,"5' 7""",139 lbs.,,Orthodox,24-Apr-83,1,1,0,1,0,0,1,0
Max Martyniouk,,155 lbs.,,,,0,0,0,0,0,0,0,0
Bristol Marunde,"6' 1""",170 lbs.,"75""",Orthodox,20-Apr-82,1,0,4,0,2,0,0,0
Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,12-Nov-84,4,0,3,1,2,1,1,0
Tiffany Masters,"5' 3""",115 lbs.,"65""",Orthodox,31-Jul-94,4,1,3,1,3,1,0,0
Tateki Matsuda,"5' 7""",125 lbs.,,Orthodox,27-Feb-86,3,0,3,1,0,0,0,0
Naoki Matsushita,"5' 6""",155 lbs.,,Orthodox,,3,0,2,1,2,1,0,0
AJ Matthews,"5' 11""",185 lbs.,,,,5,1,5,1,0,0,1,0
Koichiro Matsumoto,"5' 7""",145 lbs.,,,7-Mar-86,2,0,4,0,0,0,0,0
Daijiro Matsui,"5' 9""",200 lbs.,,Orthodox,5-Dec-72,1,0,2,1,2,0,0,0
Jake Matthews,"5' 11""",170 lbs.,"73""",Orthodox,19-Aug-94,3,0,2,1,2,0,1,1
Claudio Mattos,,185 lbs.,,Orthodox,,0,0,4,0,0,0,0,0
Francesco Maturi,,,,,,0,0,0,0,0,0,0,0
John Matua,"6' 2""",400 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Miranda Maverick,"5' 3""",125 lbs.,"65""",Southpaw,1-Jul-97,10,1,6,1,0,0,0,0
Nick Maximov,"6' 0""",220 lbs.,"76""",Southpaw,23-Dec-97,2,1,0,1,2,0,0,0
Vladimir Matyushenko,"6' 0""",205 lbs.,"74""",Orthodox,4-Jan-71,2,0,2,1,3,0,1,0
Elaina Maxwell,"5' 8""",145 lbs.,,Orthodox,16-Dec-78,2,1,2,1,0,0,1,1
Jeremy May,"6' 1""",185 lbs.,,,23-Oct-86,0,0,0,0,0,0,0,0
Al Matavao,"5' 8""",205 lbs.,"67""",Orthodox,23-Feb-94,8,0,7,1,0,0,0,0
Jack May,"6' 8""",255 lbs.,,Switch,14-Apr-81,2,0,3,0,1,0,0,0
Don'Tale Mayes,"6' 6""",260 lbs.,"81""",Orthodox,16-Jan-92,4,0,4,0,0,0,1,0
Brooke Mayo,"5' 7""",125 lbs.,,,,2,0,3,1,3,1,0,2
Gina Mazany,"5' 6""",125 lbs.,"68""",Southpaw,19-Aug-88,3,0,3,1,4,1,0,0
Gray Maynard,"5' 9""",155 lbs.,"70""",Orthodox,9-May-79,2,0,3,1,3,0,1,1
Scott McAfee,"5' 8""",155 lbs.,,Orthodox,23-Aug-83,0,0,1,1,0,0,0,0
Sabina Mazo,"5' 7""",135 lbs.,"70""",Orthodox,25-Mar-97,7,0,4,1,1,1,1,0
Michael McBride,"6' 1""",155 lbs.,,Orthodox,9-Mar-86,4,0,6,0,2,0,0,1
Bobby McAndrews,,,,Orthodox,,3,1,1,1,0,0,0,8
Ian McCall,"5' 5""",125 lbs.,"64""",Orthodox,7-May-84,4,0,3,1,2,0,1,0
Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,4-May-90,5,1,4,1,2,0,0,1
Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,6-Aug-80,0,0,4,1,3,1,0,3
Sean McCorkle,"6' 7""",265 lbs.,"81""",Orthodox,17-Jul-76,1,0,2,1,2,0,0,4
Kris McCray,"6' 0""",170 lbs.,"76""",Orthodox,24-Sep-81,3,0,3,1,3,1,0,0
Tamdan McCrory,"6' 4""",185 lbs.,"76""",Switch,5-Nov-86,2,0,2,0,2,1,0,3
Justin McCully,"6' 1""",225 lbs.,"73""",Orthodox,18-Feb-76,2,0,2,0,1,0,0,0
Michael McDonald,"5' 9""",135 lbs.,"70""",Orthodox,15-Jan-91,3,0,3,1,1,1,1,1
Rob McCullough,"5' 9""",155 lbs.,"69""",Orthodox,26-May-77,2,0,3,1,0,1,1,0
Robert McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,3-May-83,2,0,2,1,1,1,1,1
Scott McDonald,,,,,,0,0,0,0,0,0,0,0
Josh McDonald,,185 lbs.,,,,1,1,3,0,9,1,0,0
Miles McDonald,"5' 7""",115 lbs.,,,13-Aug-91,5,0,4,0,0,0,1,1
Justin McElfresh,"6' 6""",205 lbs.,,Orthodox,4-Jan-80,5,0,13,0,0,0,0,0
Drew McFedries,"6' 0""",185 lbs.,"72""",Southpaw,27-Jul-78,5,1,5,1,1,1,1,1
Liam McGeary,"6' 6""",205 lbs.,,,4-Oct-82,1,0,2,1,1,1,0,3
Gan McGee,"6' 10""",265 lbs.,,Orthodox,20-Nov-76,2,0,2,1,1,0,1,0
Court McGee,"5' 11""",170 lbs.,"75""",Orthodox,12-Dec-84,5,0,4,1,2,0,1,0
Ryan McGillivray,"5' 11""",170 lbs.,,,27-Sep-86,1,0,2,1,0,0,0,0
Ryan McGivern,"6' 0""",185 lbs.,,Orthodox,17-Jan-80,2,0,2,1,0,0,0,0
Conor McGregor,"5' 9""",155 lbs.,"74""",Southpaw,14-Jul-88,5,0,5,1,1,1,1,0
Jack McGlaughlin,,,,Orthodox,,0,0,0,0,0,0,0,0
Greg McIntyre,"5' 10""",155 lbs.,,Orthodox,21-Apr-80,1,0,1,0,5,1,0,0
AJ McKee,"5' 10""",145 lbs.,,,,3,0,1,1,11,1,1,11
Antonio McKee,"5' 8""",155 lbs.,,Southpaw,12-Mar-70,1,0,1,1,1,0,1,0
Rhys McKee,"6' 2""",170 lbs.,"78""",Orthodox,10-Sep-95,7,1,12,0,0,0,0,0
Tim McKenzie,"6' 0""",185 lbs.,"74""",Orthodox,21-Jul-82,1,1,3,0,0,0,0,2
Terrance McKinney,"5' 11""",145 lbs.,"74""",Switch,15-Sep-94,1,1,1,1,4,0,0,0
Cory McKenna,"5' 3""",115 lbs.,"58""",Orthodox,7-Nov-99,3,0,3,0,1,1,1,0
Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,16-Dec-87,2,0,3,1,3,0,0,3
Jason McLean,"5' 5""",145 lbs.,,,,0,0,0,0,0,0,0,0
Brian McLaughlin,"5' 9""",155 lbs.,,,12-May-84,0,0,0,0,0,0,0,0
Garreth McLellan,"6' 1""",185 lbs.,"72""",Southpaw,1-Sep-82,4,1,3,0,1,0,0,1
Sara McMann,"5' 6""",135 lbs.,"66""",Orthodox,24-Sep-80,2,0,2,0,4,1,1,1
Charles McTorry,,,,,,0,0,0,0,0,0,0,0
Daniel McWilliams,"6' 1""",185 lbs.,,,,3,1,0,0,0,0,1,22
James McSweeney,"6' 4""",230 lbs.,"77""",Switch,24-Oct-80,4,1,4,0,1,0,1,1
Tim Means,"6' 2""",170 lbs.,"75""",Orthodox,20-Feb-84,5,0,4,1,1,0,1,0
Kaline Medeiros,"5' 3""",115 lbs.,,,,2,1,0,1,4,1,0,4
Anistavio Medeiros,"5' 6""",145 lbs.,,Orthodox,1-May-88,4,0,5,0,0,0,0,0
Yancy Medeiros,"5' 10""",155 lbs.,"75""",Orthodox,7-Sep-87,4,0,5,0,0,0,1,1
Uros Medic,"6' 1""",155 lbs.,"71""",Southpaw,25-Apr-93,20,1,1,1,0,0,1,0
Jason Medina,"5' 9""",180 lbs.,,,,0,0,0,0,0,0,0,0
Todd Medina,"5' 10""",193 lbs.,,Southpaw,,0,0,0,0,0,0,0,0
Emil Meek,"5' 11""",170 lbs.,"74""",Switch,20-Aug-88,3,0,3,0,0,0,0,1
Sanford Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,5-Apr-94,1,0,4,0,7,0,0,0
Frank Megallon,"5' 10""",185 lbs.,,Southpaw,,1,0,5,1,0,0,0,0
Bryce Mejia,"6' 1""",170 lbs.,,,,3,1,7,1,0,0,0,0
Gerald Meerschaert,"6' 1""",185 lbs.,"77""",Southpaw,18-Dec-87,3,0,4,1,2,0,0,2
Derrick Mehmen,"6' 4""",205 lbs.,,,30-May-85,2,0,5,0,1,0,0,0
Jordan Mein,"6' 0""",170 lbs.,"73""",Orthodox,10-Oct-89,3,0,3,1,2,1,1,0
Miika Mehmet,,205 lbs.,,Orthodox,,0,0,7,0,0,0,0,0
Brian Melancon,"5' 8""",170 lbs.,,Orthodox,28-May-82,4,0,4,1,2,1,1,0
Brandon Melendez,"5' 11""",155 lbs.,,Southpaw,24-Mar-83,1,0,1,1,0,0,0,0
Fabio Mello,"5' 5""",155 lbs.,,Southpaw,,1,0,4,1,0,0,0,0
Gilbert Melendez,"5' 9""",145 lbs.,"73""",Orthodox,12-Apr-82,3,0,3,1,2,0,1,0
Vanessa Melo,"5' 5""",135 lbs.,"65""",Orthodox,27-Mar-88,3,0,6,1,0,0,1,0
Marcelo Mello,"5' 7""",170 lbs.,,Southpaw,,0,0,0,0,0,0,0,0
Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,19-Apr-81,1,0,7,0,3,1,1,0
Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,3-Mar-83,2,0,4,1,2,0,1,0
Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,1-May-85,3,0,2,1,4,1,1,0
Eddie Mendez,"5' 10""",185 lbs.,,,16-Jan-84,2,0,3,0,0,0,0,0
Luis Mendoza,,155 lbs.,,,,0,0,0,0,0,0,0,0
Pietro Menga,"5' 7""",125 lbs.,"68""",Southpaw,15-Feb-88,0,0,0,0,0,0,0,0
Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,18-Oct-87,3,0,4,0,0,0,1,0
Ivan Menjivar,"5' 6""",145 lbs.,"64""",Orthodox,30-May-82,3,0,3,1,1,0,0,1
Steve Mensing,"5' 11""",185 lbs.,,Orthodox,6-Dec-77,0,0,10,0,0,0,0,0
Dave Menne,"5' 10""",170 lbs.,,Orthodox,29-Jul-74,2,0,2,0,0,1,1,3
Adam Meredith,"6' 2""",170 lbs.,,,,3,1,2,1,8,1,1,8
Buck Meredith,"6' 2""",185 lbs.,,,17-May-82,0,0,0,0,0,0,0,0
Joe Merritt,"6' 0""",170 lbs.,,Orthodox,7-Mar-84,2,1,1,1,0,0,1,0
Jonathan Meunier,"6' 3""",170 lbs.,,Switch,4-Aug-87,3,1,1,1,1,0,1,0
Jeremiah Metcalf,"6' 1""",185 lbs.,,Orthodox,,2,1,0,1,4,1,1,2
Brandon Michaels,"5' 9""",185 lbs.,,,,0,0,0,0,0,0,0,0
Yaotzin Meza,"5' 9""",145 lbs.,"71""",Orthodox,4-Feb-81,1,0,2,1,1,0,0,1
Guy Mezger,"6' 1""",200 lbs.,,Orthodox,1-Jan-68,2,0,1,1,0,1,1,0
David Michaud,"5' 9""",155 lbs.,,Orthodox,10-Nov-88,3,0,4,1,3,1,1,1
Andreas Michailidis,"6' 0""",185 lbs.,"76""",Orthodox,18-Jul-88,5,1,4,1,0,0,0,0
Kristof Midoux,"6' 1""",220 lbs.,,Orthodox,30-Jul-74,1,0,3,0,0,0,0,0
Keith Mielke,"5' 8""",185 lbs.,,,,0,0,0,0,0,0,0,0
Zachary Micklewright,"6' 0""",155 lbs.,"74""",Southpaw,21-Aug-76,6,1,5,1,1,0,1,0
Chris Mierzwiak,"6' 1""",185 lbs.,,,14-Feb-88,2,1,2,0,2,0,0,1
Bojan Mihajlovic,"5' 11""",205 lbs.,"73""",Orthodox,30-Mar-80,1,0,6,0,0,0,0,0
Gabriel Miglioli,"5' 8""",170 lbs.,,,,0,0,0,0,0,0,0,0
Billy Miles,"5' 10""",170 lbs.,,Orthodox,28-Apr-78,0,0,1,0,0,0,0,0
Phillip Miller,"5' 11""",185 lbs.,,Orthodox,20-Feb-79,2,1,2,1,4,0,1,1
Jason Miller,"6' 1""",185 lbs.,,Orthodox,24-Dec-80,2,0,2,0,1,0,0,1
Dan Miller,"6' 1""",185 lbs.,"74""",Orthodox,30-Jun-81,2,0,3,0,2,1,0,2
Curtis Millender,"6' 2""",170 lbs.,"76""",Orthodox,1-Dec-87,4,0,3,1,0,1,1,0
Pat Miletich,"5' 10""",170 lbs.,,Orthodox,9-Mar-68,2,0,2,1,2,1,1,1
Cole Miller,"6' 1""",145 lbs.,"73""",Orthodox,26-Apr-84,3,0,4,1,1,0,0,2
Chris Mickle,"5' 9""",145 lbs.,,Orthodox,10-Jul-83,3,0,10,0,0,0,0,0
Jim Miller,"5' 8""",155 lbs.,"71""",Southpaw,30-Aug-83,3,0,3,1,2,0,0,2
Micah Miller,"6' 0""",145 lbs.,,Orthodox,14-Feb-87,1,0,2,1,1,0,0,2
Aaron Miller,"5' 9""",145 lbs.,,,,0,0,0,0,0,0,0,0
Henry Miller,"5' 7""",270 lbs.,,Southpaw,16-Jul-69,1,0,2,1,1,0,1,0
Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,29-Sep-82,2,1,3,0,1,1,1,0
Eddy Millis,"6' 1""",185 lbs.,,,,0,0,3,0,0,0,0,7
Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,3-Jul-87,4,0,5,0,0,0,1,0
Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,2-May-82,3,0,4,0,2,0,1,0
Stipe Miocic,"6' 4""",240 lbs.,"80""",Orthodox,19-Aug-82,5,1,4,1,2,0,1,0
Vitaly Minakov,"6' 2""",249 lbs.,,,6-Feb-85,0,0,0,0,0,0,0,0
Darrick Minner,"5' 7""",145 lbs.,"69""",Orthodox,28-Apr-90,3,1,1,0,3,1,1,4
Mike Minniger,,,,,,0,0,0,0,0,0,0,0
Carlton Minus,"5' 10""",170 lbs.,"75""",Orthodox,26-Apr-93,4,0,5,1,0,0,1,0
Ikuhisa Minowa,"5' 9""",181 lbs.,,Orthodox,12-Jan-76,1,0,2,0,2,0,0,2
Juan Miranda,,155 lbs.,,,,0,0,0,0,0,0,0,0
Mario Miranda,"6' 3""",185 lbs.,"74""",Orthodox,12-Jul-79,2,1,2,0,1,1,1,0
Frank Mir,"6' 3""",264 lbs.,"79""",Southpaw,24-May-79,2,0,4,0,2,0,1,2
Damir Mirenic,"6' 0""",185 lbs.,,Orthodox,2-Aug-74,1,1,10,0,0,0,0,0
Vitor Miranda,"6' 1""",185 lbs.,"77""",Orthodox,10-Mar-79,3,0,3,1,1,1,1,0
Toby Misech,"5' 8""",145 lbs.,,Southpaw,7-Mar-88,3,0,8,0,0,0,0,0
Kazuo Misaki,"5' 8""",183 lbs.,,Orthodox,25-Apr-76,3,0,3,1,1,0,1,1
Dokonjonosuke Mishima,"5' 7""",155 lbs.,,Southpaw,19-Apr-72,1,0,1,1,2,0,0,1
Felix Lee Mitchell,,,,Orthodox,,0,0,0,0,0,0,0,0
Danny Mitchell,"6' 2""",170 lbs.,,Orthodox,8-Aug-86,3,0,3,1,0,0,1,3
Brad Mitchell,"5' 11""",145 lbs.,,,10-Oct-74,1,0,4,1,0,0,1,2
David Mitchell,"6' 0""",170 lbs.,"75""",Orthodox,24-Oct-79,2,0,2,1,1,1,0,2
Maurice Mitchell,"5' 9""",145 lbs.,,Orthodox,29-Jun-87,4,1,4,1,0,0,1,0
Clay Mitchell,"6' 2""",185 lbs.,,,,2,1,0,0,0,0,1,4
Bryce Mitchell,"5' 10""",145 lbs.,"70""",Southpaw,4-Oct-94,2,1,1,1,3,0,0,2
Roman Mitichyan,"5' 10""",170 lbs.,,Orthodox,4-Sep-78,0,0,3,0,2,1,0,2
Eiji Mitsuoka,"5' 7""",145 lbs.,,Southpaw,1-Jan-76,1,0,2,0,2,0,0,2
Jonathan  Mix,"6' 0""",168 lbs.,,,9-Nov-80,0,0,0,0,0,0,0,0
Matt Mitrione,"6' 3""",265 lbs.,"82""",Switch,15-Jul-78,4,1,3,1,0,0,1,1
Motoki Miyazawa,"5' 11""",168 lbs.,,Southpaw,,1,0,4,1,0,0,0,0
Hiromitsu Miura,"5' 9""",170 lbs.,"71""",Orthodox,22-Sep-81,2,0,2,1,2,1,1,1
Tomoya Miyashita,"5' 7""",139 lbs.,,Southpaw,,2,1,1,0,4,1,0,2
Kazuyuki Miyata,"5' 8""",139 lbs.,,Orthodox,,2,1,2,1,4,0,1,0
Takeya Mizugaki,"5' 7""",135 lbs.,"69""",Orthodox,16-Dec-83,3,0,3,1,1,1,1,0
Tatsuya Mizuno,"6' 1""",205 lbs.,,Southpaw,2-Jun-81,2,0,4,1,1,0,0,4
Bobby Moffett,"5' 10""",145 lbs.,"73""",Orthodox,1-Jun-90,3,0,3,1,3,1,1,1
Roxanne Modafferi,"5' 7""",125 lbs.,"69""",Orthodox,24-Sep-82,3,0,5,1,1,0,0,0
Bronson Mohika,,135 lbs.,,,,0,0,0,0,0,0,0,0
Thiago Moises,"5' 9""",155 lbs.,"70""",Orthodox,23-Mar-95,3,0,4,1,1,0,1,1
Nate Mohr,"5' 9""",155 lbs.,"72""",Orthodox,3-Mar-83,4,0,3,1,0,1,1,0
Renato Moicano,"5' 11""",155 lbs.,"72""",Orthodox,21-May-89,5,0,4,1,1,1,1,1
Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,15-Sep-85,2,0,4,0,1,0,0,0
Suman Mokhtarian,"5' 8""",145 lbs.,"72""",Orthodox,13-Jun-92,2,0,7,0,0,0,0,0
Rudyard Moncayo,"5' 10""",195 lbs.,,Orthodox,,0,0,0,0,0,0,0,0
Dan Molina,"5' 10""",216 lbs.,,,14-Jun-84,0,0,6,1,0,0,0,21
Jeff Molina,"5' 6""",125 lbs.,"69""",Orthodox,17-Jul-97,5,0,6,1,0,0,0,0
Jeff Monson,"5' 9""",247 lbs.,"74""",Orthodox,18-Jan-71,1,0,3,1,1,0,1,1
Hidetaka Monma,"6' 0""",168 lbs.,,Orthodox,23-Oct-73,2,0,10,0,0,0,0,0
Darrell Montague,"5' 6""",125 lbs.,"67""",Southpaw,3-Nov-87,2,0,5,1,1,0,0,1
Andrew Montanez,,185 lbs.,,,,0,0,0,0,0,0,0,0
